,Corriente inicial (A),Corriente final (A),Valor del registro (decimal)
117,1.960412120265025e-06,2.460412120265025e-06,5
118,3.843929071185138e-06,3.0439290711851384e-06,15
119,4.7052514340280566e-06,3.905251434028057e-06,15
120,3.0597518160309968e-06,2.4597518160309966e-06,13
121,1.3492059474632665e-06,2.0492059474632663e-06,7
122,3.040074026973918e-06,2.540074026973918e-06,12
123,1.2094543954037773e-06,1.909454395403777e-06,7
124,4.84312302702093e-06,4.04312302702093e-06,15
125,4.600232876622618e-06,3.8002328766226182e-06,15
126,3.290306957370566e-06,2.490306957370566e-06,15
127,1.178303179513362e-06,1.8783031795133622e-06,7
128,4.760136361403384e-06,3.960136361403384e-06,15
129,3.34439107382383e-06,2.54439107382383e-06,15
130,3.0791117675740816e-06,2.4791117675740814e-06,13
131,2.2617407552137805e-06,2.4617407552137803e-06,2
132,2.649715309017116e-06,2.5497153090171163e-06,8
133,2.9753306017662883e-06,2.4753306017662885e-06,12
134,2.936475024316569e-06,2.536475024316569e-06,11
135,3.678140144752962e-06,2.878140144752962e-06,15
136,3.3028648325457227e-06,2.5028648325457227e-06,15
137,1.2894662970778831e-06,1.989466297077883e-06,7
138,1.773745339569533e-06,2.473745339569533e-06,7
139,1.0060406911206834e-06,1.7060406911206833e-06,7
140,4.086363758793323e-06,3.286363758793323e-06,15
141,3.0692835980268954e-06,2.4692835980268952e-06,13
142,3.330353757532711e-06,2.530353757532711e-06,15
143,4.625484621045849e-06,3.825484621045849e-06,15
144,2.793068886854679e-06,2.493068886854679e-06,10
145,4.481902890129958e-06,3.681902890129958e-06,15
146,1.533340666885244e-06,2.233340666885244e-06,7
147,3.4209595216075835e-06,2.6209595216075835e-06,15
148,2.6140070171032552e-06,2.5140070171032554e-06,8
149,1.2844300299318895e-06,1.9844300299318895e-06,7
150,4.2952289678563526e-06,3.4952289678563526e-06,15
151,3.8262949409966986e-06,3.0262949409966986e-06,15
152,4.9106132911531165e-06,4.1106132911531166e-06,15
153,4.973470702484582e-06,4.173470702484582e-06,15
154,1.81256922550211e-06,2.51256922550211e-06,7
155,3.323545172890918e-06,2.523545172890918e-06,15
156,2.9511179154398366e-06,2.4511179154398367e-06,12
157,3.4465735700995414e-06,2.6465735700995415e-06,15
158,3.7370092256123234e-06,2.9370092256123234e-06,15
159,2.5780795267408447e-06,2.4780795267408448e-06,8
160,1.490148052700762e-06,2.190148052700762e-06,7
161,3.0728402794648328e-06,2.4728402794648326e-06,13
162,1.2148166802564235e-06,1.9148166802564234e-06,7
163,3.165682751573963e-06,2.465682751573963e-06,14
164,1.3813396019134947e-06,2.081339601913495e-06,7
165,1.0673000234896284e-06,1.7673000234896284e-06,7
166,1.714857418311002e-06,2.414857418311002e-06,7
167,1.9153156227083315e-06,2.5153156227083317e-06,6
168,3.982238504734011e-06,3.1822385047340113e-06,15
169,2.02211000084244e-06,2.5221100008424397e-06,5
170,4.149605433493497e-06,3.3496054334934973e-06,15
171,4.126233184469749e-06,3.326233184469749e-06,15
172,2.4100794253796273e-06,2.510079425379627e-06,1
173,2.296506896231491e-06,2.496506896231491e-06,2
174,4.21641218676238e-06,3.4164121867623804e-06,15
175,2.7758375774217085e-06,2.4758375774217084e-06,10
176,1.118796678052954e-06,1.8187966780529538e-06,7
177,4.87136069586266e-06,4.07136069586266e-06,15
178,4.794487300892893e-06,3.994487300892893e-06,15
179,4.606005634561519e-06,3.806005634561519e-06,15
180,1.5769592249396016e-06,2.2769592249396017e-06,7
181,3.3237676232689552e-06,2.5237676232689553e-06,15
182,2.808263461396226e-06,2.508263461396226e-06,10
183,1.4317774203790234e-06,2.1317774203790234e-06,7
184,2.103671640390159e-06,2.503671640390159e-06,4
185,4.600895519437253e-06,3.8008955194372526e-06,15
186,2.3691986102150773e-06,2.469198610215077e-06,1
187,2.4049499577966094e-06,2.5049499577966093e-06,1
188,4.158655664532423e-06,3.3586556645324227e-06,15
189,2.9337318486000177e-06,2.5337318486000177e-06,11
190,1.2983490576911568e-06,1.998349057691157e-06,7
191,4.036700771079906e-06,3.236700771079906e-06,15
192,2.493344748991047e-06,2.493344748991047e-06,0
193,3.2471710283107827e-06,2.5471710283107826e-06,14
194,4.259566146212635e-06,3.4595661462126354e-06,15
195,3.38207493411531e-06,2.58207493411531e-06,15
196,3.5975977929671877e-06,2.7975977929671877e-06,15
197,3.159506530026772e-06,2.459506530026772e-06,14
198,1.211914526594274e-06,1.911914526594274e-06,7
199,2.3769831283176188e-06,2.4769831283176187e-06,1
200,1.1824372083415758e-06,1.8824372083415756e-06,7
201,1.268409035037615e-06,1.968409035037615e-06,7
202,4.055526297853583e-06,3.2555262978535826e-06,15
203,1.3630327296956884e-06,2.0630327296956885e-06,7
204,2.5876259464087907e-06,2.487625946408791e-06,8
205,2.73766724710977e-06,2.53766724710977e-06,9
206,1.0345913493290739e-06,1.7345913493290737e-06,7
207,3.0239066677993625e-06,2.5239066677993626e-06,12
208,2.1162495471717067e-06,2.5162495471717067e-06,4
209,3.228152592694744e-06,2.528152592694744e-06,14
210,2.538818329783641e-06,2.538818329783641e-06,0
211,3.2595839010885006e-06,2.4595839010885006e-06,15
212,2.5850516143241867e-06,2.4850516143241868e-06,8
213,1.6085851313731677e-06,2.3085851313731677e-06,7
214,3.0691338398620716e-06,2.4691338398620714e-06,13
215,1.1761889347867025e-06,1.8761889347867024e-06,7
216,4.435022628536854e-06,3.635022628536854e-06,15
217,4.841301658351115e-06,4.041301658351115e-06,15
218,2.2014494891924383e-06,2.5014494891924384e-06,3
219,3.7928935479352075e-06,2.9928935479352076e-06,15
220,3.9900243212029605e-06,3.1900243212029605e-06,15
221,1.981872332851504e-06,2.481872332851504e-06,5
222,4.115265730258781e-06,3.3152657302587807e-06,15
223,2.328408669171039e-06,2.528408669171039e-06,2
224,1.2551339222181435e-06,1.9551339222181433e-06,7
225,3.8001803130269912e-06,3.0001803130269913e-06,15
226,2.9362037787394884e-06,2.5362037787394885e-06,11
227,2.596232560551811e-06,2.496232560551811e-06,8
228,4.678473197087209e-06,3.878473197087209e-06,15
229,3.115224276164762e-06,2.515224276164762e-06,13
230,3.819982950741858e-06,3.019982950741858e-06,15
231,4.418038637095518e-06,3.6180386370955184e-06,15
232,2.1240771747548606e-06,2.5240771747548606e-06,4
233,3.729907655789412e-06,2.929907655789412e-06,15
234,2.367412634633784e-06,2.4674126346337837e-06,1
235,2.387272796781747e-06,2.487272796781747e-06,1
236,3.692983340341483e-06,2.8929833403414832e-06,15
237,3.4901037065681824e-06,2.6901037065681825e-06,15
238,4.183457475040167e-06,3.383457475040167e-06,15
239,1.4748705384592853e-06,2.174870538459285e-06,7
240,4.4556734447599505e-06,3.6556734447599506e-06,15
241,3.7526275674627926e-06,2.9526275674627926e-06,15
242,2.341424138171852e-06,2.541424138171852e-06,2
243,4.911975797869767e-06,4.111975797869767e-06,15
244,4.784754119859529e-06,3.984754119859529e-06,15
245,1.5032799031530484e-06,2.2032799031530485e-06,7
246,4.708299102195101e-06,3.908299102195101e-06,15
247,2.8330173593169663e-06,2.533017359316966e-06,10
248,4.3470894818289155e-06,3.5470894818289155e-06,15
249,2.084352242434291e-06,2.484352242434291e-06,4
250,2.550225180441893e-06,2.450225180441893e-06,8
251,2.779142906074199e-06,2.479142906074199e-06,10
252,4.107712794002624e-06,3.3077127940026243e-06,15
253,3.1527729789071483e-06,2.4527729789071482e-06,14
254,2.499215021758915e-06,2.499215021758915e-06,0
255,1.2211927272203398e-06,1.92119272722034e-06,7
256,2.955401817272554e-06,2.455401817272554e-06,12
257,2.2682562593011945e-06,2.4682562593011943e-06,2
258,3.614631708284588e-06,2.814631708284588e-06,15
259,1.1582519055601326e-06,1.8582519055601327e-06,7
260,1.8426841518731757e-06,2.542684151873176e-06,7
261,2.733526497679182e-06,2.5335264976791818e-06,9
262,2.252784930339584e-06,2.4527849303395838e-06,2
263,3.968469109747106e-06,3.168469109747106e-06,15
264,3.487561725786168e-06,2.687561725786168e-06,15
265,4.237262379891781e-06,3.437262379891781e-06,15
266,4.864239724570479e-06,4.064239724570479e-06,15
267,1.7907365865075953e-06,2.490736586507595e-06,7
268,4.0214821962159694e-06,3.2214821962159695e-06,15
269,1.1595167525514607e-06,1.8595167525514607e-06,7
270,4.387568717580923e-06,3.5875687175809232e-06,15
271,2.9342760936898876e-06,2.5342760936898876e-06,11
272,4.91541476478712e-06,4.11541476478712e-06,15
273,1.7682393391625244e-06,2.4682393391625245e-06,7
274,1.5779384213355111e-06,2.277938421335511e-06,7
275,4.038575941792405e-06,3.238575941792405e-06,15
276,2.4917430600474357e-06,2.4917430600474357e-06,0
277,4.605692806516845e-06,3.8056928065168453e-06,15
278,4.62740043680461e-06,3.8274004368046104e-06,15
279,2.641771058891943e-06,2.5417710588919433e-06,8
280,2.238341344817056e-06,2.538341344817056e-06,3
281,1.0794021578577211e-06,1.7794021578577212e-06,7
282,3.686868907190452e-06,2.886868907190452e-06,15
283,3.899530441189021e-06,3.099530441189021e-06,15
284,1.1312905794697104e-06,1.8312905794697102e-06,7
285,3.323230304782719e-06,2.523230304782719e-06,15
286,2.9672400376934265e-06,2.4672400376934266e-06,12
287,3.223972947150164e-06,2.523972947150164e-06,14
288,4.739729996246612e-06,3.939729996246612e-06,15
289,4.397700063909732e-06,3.5977000639097322e-06,15
290,3.170785455172796e-06,2.470785455172796e-06,14
291,3.633750035545491e-06,2.833750035545491e-06,15
292,4.072037432931123e-06,3.2720374329311234e-06,15
293,2.910316302467795e-06,2.510316302467795e-06,11
294,1.7042705724686344e-06,2.4042705724686345e-06,7
295,4.448346371410735e-06,3.648346371410735e-06,15
296,1.2922564728425754e-06,1.9922564728425755e-06,7
297,3.101746033663451e-06,2.501746033663451e-06,13
298,1.8232413397607723e-06,2.5232413397607724e-06,7
299,2.456318068246697e-06,2.456318068246697e-06,0
300,3.3907831417453123e-06,2.5907831417453123e-06,15
301,2.5949404128206656e-06,2.4949404128206657e-06,8
302,4.8608159887042716e-06,4.060815988704272e-06,15
303,1.1266298961693883e-06,1.8266298961693884e-06,7
304,1.5355117978823124e-06,2.2355117978823122e-06,7
305,1.7303638927569242e-06,2.4303638927569243e-06,7
306,2.719360140463293e-06,2.519360140463293e-06,9
307,3.5509283098792205e-06,2.7509283098792205e-06,15
308,1.7495234950824283e-06,2.4495234950824284e-06,7
309,1.253791341102692e-06,1.953791341102692e-06,7
310,3.204223247391894e-06,2.504223247391894e-06,14
311,4.281768180862476e-06,3.4817681808624757e-06,15
312,3.601548854865979e-06,2.801548854865979e-06,15
313,3.2584129322553134e-06,2.4584129322553135e-06,15
314,1.785725100526125e-06,2.485725100526125e-06,7
315,2.6398572829822607e-06,2.5398572829822608e-06,8
316,1.105526083882185e-06,1.805526083882185e-06,7
317,2.8487879341822326e-06,2.5487879341822325e-06,10
318,3.7945487396125824e-06,2.9945487396125824e-06,15
319,1.7117489249329632e-06,2.4117489249329633e-06,7
320,2.7821195575757877e-06,2.4821195575757876e-06,10
321,2.101837855307555e-06,2.501837855307555e-06,4
322,4.494137814935626e-06,3.694137814935626e-06,15
323,3.932163354594446e-06,3.132163354594446e-06,15
324,3.360361521491489e-06,2.560361521491489e-06,15
325,3.2030152634741467e-06,2.5030152634741466e-06,14
326,1.4177707872716306e-06,2.1177707872716306e-06,7
327,4.452027501429805e-06,3.6520275014298053e-06,15
328,3.5682728440312262e-06,2.7682728440312263e-06,15
329,4.31975240933266e-06,3.5197524093326597e-06,15
330,4.804219065101187e-06,4.004219065101187e-06,15
331,4.342797927019275e-06,3.542797927019275e-06,15
332,1.9953403032167358e-06,2.4953403032167357e-06,5
333,3.2193418249728664e-06,2.5193418249728663e-06,14
334,4.69913095970347e-06,3.89913095970347e-06,15
335,1.5782001912883761e-06,2.278200191288376e-06,7
336,1.0253051452286122e-06,1.7253051452286122e-06,7
337,1.8074363917074765e-06,2.5074363917074765e-06,7
338,1.4381379906003011e-06,2.138137990600301e-06,7
339,1.564948255816822e-06,2.264948255816822e-06,7
340,2.5999865703307667e-06,2.4999865703307668e-06,8
341,3.329240450170314e-06,2.529240450170314e-06,15
342,1.4831300440134509e-06,2.183130044013451e-06,7
343,1.7501974254665132e-06,2.4501974254665133e-06,7
344,2.505122881664294e-06,2.505122881664294e-06,0
345,4.0826368714914715e-06,3.2826368714914715e-06,15
346,3.2400240955264193e-06,2.540024095526419e-06,14
347,2.400992679579439e-06,2.500992679579439e-06,1
348,4.488663921311929e-06,3.688663921311929e-06,15
349,2.6392387301406767e-06,2.5392387301406768e-06,8
350,4.5597698796663105e-06,3.7597698796663105e-06,15
351,4.431785035434774e-06,3.631785035434774e-06,15
352,4.553599902521026e-06,3.753599902521026e-06,15
353,1.3902065482378503e-06,2.09020654823785e-06,7
354,1.85552377098283e-06,2.45552377098283e-06,6
355,1.6366409096262392e-06,2.3366409096262393e-06,7
356,3.5996234429262216e-06,2.7996234429262216e-06,15
357,1.7361666969376548e-06,2.436166696937655e-06,7
358,4.059147685456136e-06,3.2591476854561356e-06,15
359,1.3721705363765642e-06,2.0721705363765643e-06,7
360,4.679282225090418e-06,3.879282225090418e-06,15
361,4.651580054026773e-06,3.851580054026773e-06,15
362,4.069113462221829e-06,3.269113462221829e-06,15
363,4.121669476331983e-06,3.3216694763319833e-06,15
364,4.136183440759783e-06,3.336183440759783e-06,15
365,3.706532307951048e-06,2.906532307951048e-06,15
366,1.2757047560151808e-06,1.975704756015181e-06,7
367,1.138059167427798e-06,1.8380591674277978e-06,7
368,4.508044346473471e-06,3.7080443464734707e-06,15
369,4.080205391835664e-06,3.280205391835664e-06,15
370,1.4970476218000193e-06,2.1970476218000194e-06,7
371,2.2427437483868895e-06,2.5427437483868896e-06,3
372,1.4688564451785328e-06,2.168856445178533e-06,7
373,1.136149976149439e-06,1.8361499761494392e-06,7
374,2.3264470742772552e-06,2.5264470742772554e-06,2
375,1.934851538097364e-06,2.534851538097364e-06,6
376,3.6891369441541983e-06,2.8891369441541983e-06,15
377,1.962620511732931e-06,2.4626205117329307e-06,5
378,1.090927102858517e-06,1.790927102858517e-06,7
379,1.1248347519569672e-06,1.824834751956967e-06,7
380,4.687647883077875e-06,3.887647883077875e-06,15
