,Corriente inicial (A),Corriente final (A),Valor del registro (decimal)
2885,1.2387022137059537e-06,1.9387022137059537e-06,7
2886,4.748966702247087e-06,3.948966702247087e-06,15
2887,3.48609986357849e-06,2.68609986357849e-06,15
2888,2.1776600558398823e-06,2.4776600558398824e-06,3
2889,3.2329585138329866e-06,2.5329585138329865e-06,14
2890,2.0526312934123394e-06,2.4526312934123394e-06,4
2891,4.663390275501241e-06,3.863390275501241e-06,15
2892,4.364214090231663e-06,3.5642140902316633e-06,15
2893,4.5582794020418685e-06,3.7582794020418685e-06,15
2894,3.254699146300139e-06,2.454699146300139e-06,15
2895,3.306111155839305e-06,2.506111155839305e-06,15
2896,2.6827696059910698e-06,2.48276960599107e-06,9
2897,1.9283799010532088e-06,2.528379901053209e-06,6
2898,1.677583282751497e-06,2.377583282751497e-06,7
2899,3.0942065596504863e-06,2.494206559650486e-06,13
2900,4.716479176218899e-06,3.916479176218899e-06,15
2901,1.4152385813796e-06,2.1152385813796e-06,7
2902,4.9006561222279e-06,4.1006561222279e-06,15
2903,4.338654133944382e-06,3.5386541339443817e-06,15
2904,3.7805203416327807e-06,2.9805203416327807e-06,15
2905,3.6611645805277918e-06,2.861164580527792e-06,15
2906,1.4857469286075187e-06,2.1857469286075188e-06,7
2907,3.1725897474483177e-06,2.4725897474483176e-06,14
2908,3.824104082048415e-06,3.0241040820484153e-06,15
2909,3.904873816492052e-06,3.104873816492052e-06,15
2910,1.0727989163752852e-06,1.7727989163752852e-06,7
2911,4.607787056909775e-06,3.807787056909775e-06,15
2912,4.367181652148775e-06,3.567181652148775e-06,15
2913,2.1297038822538926e-06,2.5297038822538926e-06,4
2914,3.986683427336708e-06,3.186683427336708e-06,15
2915,4.318199097573845e-06,3.5181990975738454e-06,15
2916,2.9682124326128953e-06,2.4682124326128954e-06,12
2917,4.283952477107793e-06,3.483952477107793e-06,15
2918,4.9606517273674875e-06,4.1606517273674875e-06,15
2919,1.4446624850029704e-06,2.1446624850029703e-06,7
2920,3.7030890121585693e-06,2.9030890121585694e-06,15
2921,1.2680238931539685e-06,1.9680238931539684e-06,7
2922,1.0338726492821517e-06,1.7338726492821516e-06,7
2923,4.205774982040075e-06,3.4057749820400754e-06,15
2924,2.6001146021632505e-06,2.5001146021632506e-06,8
2925,3.5508192258580094e-06,2.7508192258580094e-06,15
2926,3.8371324965495315e-06,3.0371324965495315e-06,15
2927,3.3527329872698135e-06,2.5527329872698135e-06,15
2928,4.712415884359936e-06,3.912415884359936e-06,15
2929,2.080324173682919e-06,2.480324173682919e-06,4
2930,4.180038168277583e-06,3.380038168277583e-06,15
2931,2.369247929027303e-06,2.469247929027303e-06,1
2932,4.230133186302626e-06,3.4301331863026257e-06,15
2933,2.164824459056286e-06,2.464824459056286e-06,3
2934,2.5155986654380793e-06,2.5155986654380793e-06,0
2935,1.7851255474505691e-06,2.485125547450569e-06,7
2936,3.3873785795778047e-06,2.5873785795778047e-06,15
2937,3.75473059440901e-06,2.95473059440901e-06,15
2938,1.3194380064783706e-06,2.0194380064783704e-06,7
2939,4.685913619927407e-06,3.885913619927407e-06,15
2940,3.81964222750082e-06,3.01964222750082e-06,15
2941,2.778038231021716e-06,2.478038231021716e-06,10
2942,3.5173519969259564e-06,2.7173519969259565e-06,15
2943,4.640520707179937e-06,3.840520707179937e-06,15
2944,4.99482670479289e-06,4.19482670479289e-06,15
2945,3.970948397416636e-06,3.1709483974166357e-06,15
2946,2.4216681898810487e-06,2.5216681898810486e-06,1
2947,1.971999364774537e-06,2.4719993647745367e-06,5
2948,2.114830948999769e-06,2.514830948999769e-06,4
2949,4.073962969791766e-06,3.273962969791766e-06,15
2950,4.7722926829241735e-06,3.9722926829241735e-06,15
2951,3.970107548908164e-06,3.1701075489081644e-06,15
2952,1.4718878286323793e-06,2.1718878286323794e-06,7
2953,2.5485562040150844e-06,2.5485562040150844e-06,0
2954,4.640631793308725e-06,3.8406317933087255e-06,15
2955,3.5998811437535924e-06,2.7998811437535925e-06,15
2956,3.3178096128786717e-06,2.5178096128786717e-06,15
2957,1.115322302123011e-06,1.8153223021230108e-06,7
2958,4.7062847724015575e-06,3.906284772401558e-06,15
2959,3.8757254577030944e-06,3.0757254577030945e-06,15
2960,1.2792701570509268e-06,1.979270157050927e-06,7
2961,2.2659454964210165e-06,2.4659454964210163e-06,2
2962,1.6055032494459406e-06,2.3055032494459404e-06,7
2963,3.950697303719891e-06,3.150697303719891e-06,15
2964,3.6525910688201606e-06,2.8525910688201606e-06,15
2965,1.8314957383246628e-06,2.531495738324663e-06,7
2966,3.386480359422971e-06,2.586480359422971e-06,15
2967,4.0828910798718525e-06,3.2828910798718526e-06,15
2968,1.2380525445406737e-06,1.9380525445406738e-06,7
2969,4.812071696366279e-06,4.012071696366279e-06,15
2970,4.1994106078767266e-06,3.3994106078767266e-06,15
2971,3.3355203214970017e-06,2.5355203214970017e-06,15
2972,4.261552061944544e-06,3.461552061944544e-06,15
2973,4.12356756421307e-06,3.3235675642130698e-06,15
2974,1.147179221807115e-06,1.847179221807115e-06,7
2975,3.6605153502577148e-06,2.860515350257715e-06,15
2976,2.2423920123907847e-06,2.542392012390785e-06,3
2977,2.778105217620054e-06,2.4781052176200538e-06,10
2978,3.2825708086293935e-06,2.4825708086293935e-06,15
2979,1.60431148944008e-06,2.30431148944008e-06,7
2980,3.081164781048891e-06,2.481164781048891e-06,13
2981,3.5843138035606163e-06,2.7843138035606163e-06,15
2982,3.904970392585814e-06,3.104970392585814e-06,15
2983,2.408970640381089e-06,2.508970640381089e-06,1
2984,1.4280926741950544e-06,2.1280926741950542e-06,7
2985,4.946183042947595e-06,4.146183042947595e-06,15
2986,1.3796048285806655e-06,2.0796048285806653e-06,7
2987,1.0932134656343644e-06,1.7932134656343642e-06,7
2988,3.7005271904923126e-06,2.9005271904923127e-06,15
2989,4.528083651541709e-06,3.728083651541709e-06,15
2990,1.279151110808046e-06,1.979151110808046e-06,7
2991,3.300034906470957e-06,2.500034906470957e-06,15
2992,3.99734380851753e-06,3.19734380851753e-06,15
2993,4.4447428434889714e-06,3.6447428434889715e-06,15
2994,3.297938955072071e-06,2.497938955072071e-06,15
2995,2.3880482901224906e-06,2.4880482901224905e-06,1
2996,4.789577251531924e-06,3.989577251531924e-06,15
2997,1.1886398475735937e-06,1.8886398475735936e-06,7
2998,2.589465411789268e-06,2.4894654117892683e-06,8
2999,3.7031030942698712e-06,2.9031030942698713e-06,15
3000,3.5555058457511675e-06,2.7555058457511675e-06,15
3001,2.1654949396547313e-06,2.4654949396547314e-06,3
3002,1.7857324702329027e-06,2.4857324702329027e-06,7
3003,3.2235185344922797e-06,2.5235185344922796e-06,14
3004,2.978602393940731e-06,2.4786023939407313e-06,12
3005,3.914855839655496e-06,3.114855839655496e-06,15
3006,3.8345968040342645e-06,3.0345968040342646e-06,15
3007,3.6739900512885286e-06,2.8739900512885286e-06,15
3008,2.047667726503053e-06,2.5476677265030527e-06,5
3009,2.846497701902931e-06,2.546497701902931e-06,10
3010,3.586099475399283e-06,2.786099475399283e-06,15
3011,1.9979555784643813e-06,2.4979555784643812e-06,5
3012,2.0633899331030282e-06,2.4633899331030282e-06,4
3013,3.735747333170137e-06,2.935747333170137e-06,15
3014,1.4430390501465259e-06,2.1430390501465257e-06,7
3015,3.896390464383016e-06,3.0963904643830163e-06,15
3016,3.7728245805776785e-06,2.9728245805776785e-06,15
3017,3.6497027406709002e-06,2.8497027406709003e-06,15
3018,2.7092003578257705e-06,2.5092003578257707e-06,9
3019,2.403942507080939e-06,2.503942507080939e-06,1
3020,2.7420356537396993e-06,2.5420356537396995e-06,9
3021,3.429554257419648e-06,2.629554257419648e-06,15
3022,2.801029329131411e-06,2.501029329131411e-06,10
3023,3.311847176483004e-06,2.511847176483004e-06,15
3024,1.5748374056062496e-06,2.2748374056062497e-06,7
3025,1.2100487517004263e-06,1.910048751700426e-06,7
3026,3.1532653769171534e-06,2.4532653769171534e-06,14
3027,1.73948000888025e-06,2.4394800088802498e-06,7
3028,3.660644737220139e-06,2.860644737220139e-06,15
3029,3.028036689037189e-06,2.528036689037189e-06,12
3030,1.910197118211063e-06,2.510197118211063e-06,6
3031,3.5221727402194744e-06,2.7221727402194745e-06,15
3032,1.7434889416488102e-06,2.4434889416488103e-06,7
3033,4.212295225710391e-06,3.4122952257103907e-06,15
3034,3.3466917794548605e-06,2.5466917794548605e-06,15
3035,3.1138356426928137e-06,2.5138356426928135e-06,13
3036,3.5180659083616643e-06,2.7180659083616643e-06,15
3037,3.514639776954044e-06,2.7146397769540442e-06,15
3038,1.5641659821566054e-06,2.2641659821566053e-06,7
3039,1.1805371707967147e-06,1.8805371707967145e-06,7
3040,4.8405673390204525e-06,4.0405673390204526e-06,15
3041,1.1638078317461802e-06,1.86380783174618e-06,7
3042,2.8769205580318135e-06,2.4769205580318135e-06,11
3043,3.2235055682469885e-06,2.5235055682469884e-06,14
3044,2.7435182517461398e-06,2.54351825174614e-06,9
3045,2.0402596813536222e-06,2.540259681353622e-06,5
3046,1.078409235787077e-06,1.778409235787077e-06,7
3047,2.4025233956640426e-06,2.5025233956640425e-06,1
3048,1.6808928471555397e-06,2.3808928471555397e-06,7
3049,2.8151948013715246e-06,2.5151948013715245e-06,10
3050,3.006396738915648e-06,2.506396738915648e-06,12
3051,4.286265656694813e-06,3.4862656566948134e-06,15
3052,1.3194965191998477e-06,2.0194965191998478e-06,7
3053,2.872947012356056e-06,2.472947012356056e-06,11
3054,1.4996454699013984e-06,2.1996454699013982e-06,7
3055,3.340557401351376e-06,2.540557401351376e-06,15
3056,2.3604642470802323e-06,2.4604642470802322e-06,1
3057,3.4196812374487962e-06,2.6196812374487963e-06,15
3058,3.1570485364155106e-06,2.4570485364155106e-06,14
3059,1.1934094118383261e-06,1.8934094118383262e-06,7
3060,1.7792418941611527e-06,2.4792418941611527e-06,7
3061,1.8036047392470638e-06,2.503604739247064e-06,7
3062,4.026729039164578e-06,3.2267290391645784e-06,15
3063,2.0987749049687687e-06,2.4987749049687687e-06,4
3064,3.3434573311924304e-06,2.5434573311924304e-06,15
3065,3.4428943361926393e-06,2.6428943361926394e-06,15
3066,1.9042618389028194e-06,2.504261838902819e-06,6
3067,1.5735504015620024e-06,2.2735504015620022e-06,7
3068,2.3984740963455755e-06,2.4984740963455754e-06,1
3069,1.7372563527240073e-06,2.4372563527240073e-06,7
3070,3.4436709676859933e-06,2.6436709676859934e-06,15
3071,1.04667563557022e-06,1.74667563557022e-06,7
3072,1.5726534406150902e-06,2.2726534406150903e-06,7
3073,1.701757108749319e-06,2.401757108749319e-06,7
3074,2.186859286080714e-06,2.486859286080714e-06,3
3075,3.4210375360607286e-06,2.6210375360607286e-06,15
3076,3.333610618606485e-06,2.533610618606485e-06,15
3077,2.3087228484628284e-06,2.5087228484628282e-06,2
3078,1.4093176411226063e-06,2.109317641122606e-06,7
3079,3.036306510409139e-06,2.5363065104091392e-06,12
3080,2.966521400952446e-06,2.4665214009524463e-06,12
3081,1.1810014994107653e-06,1.8810014994107651e-06,7
3082,4.187610795439046e-06,3.387610795439046e-06,15
3083,4.011904549628954e-06,3.211904549628954e-06,15
3084,4.6790631576312215e-06,3.879063157631222e-06,15
3085,1.0239368404682213e-06,1.7239368404682211e-06,7
3086,4.6322855111096935e-06,3.8322855111096935e-06,15
3087,4.871237474130515e-06,4.071237474130515e-06,15
3088,2.9884139975125463e-06,2.4884139975125464e-06,12
3089,1.6388919494575147e-06,2.3388919494575148e-06,7
3090,2.644704525115652e-06,2.544704525115652e-06,8
3091,1.5447505686136562e-06,2.2447505686136562e-06,7
3092,1.1953673104887433e-06,1.8953673104887434e-06,7
3093,3.371327004157109e-06,2.571327004157109e-06,15
3094,3.302925281233874e-06,2.502925281233874e-06,15
3095,2.060601118571451e-06,2.460601118571451e-06,4
3096,4.0417887880117056e-06,3.2417887880117056e-06,15
3097,3.791002471620744e-06,2.991002471620744e-06,15
3098,3.0658715190817813e-06,2.465871519081781e-06,13
3099,1.4275934512806717e-06,2.127593451280672e-06,7
3100,2.956839760699957e-06,2.4568397606999573e-06,12
3101,4.135588163474372e-06,3.3355881634743717e-06,15
3102,2.7939988362803843e-06,2.493998836280384e-06,10
3103,2.7096769026465758e-06,2.509676902646576e-06,9
3104,1.4466568150630597e-06,2.1466568150630598e-06,7
3105,2.9118682534248547e-06,2.5118682534248548e-06,11
3106,4.905985236523713e-06,4.105985236523713e-06,15
3107,1.8229151120106541e-06,2.522915112010654e-06,7
3108,2.510176429436617e-06,2.510176429436617e-06,0
3109,4.250586365276283e-06,3.4505863652762827e-06,15
3110,4.2710158371707805e-06,3.4710158371707805e-06,15
3111,3.1097819024200437e-06,2.5097819024200435e-06,13
3112,1.1390457134747604e-06,1.8390457134747605e-06,7
3113,1.1480364926866766e-06,1.8480364926866766e-06,7
3114,1.9563950084490034e-06,2.4563950084490033e-06,5
3115,4.382974982010309e-06,3.5829749820103087e-06,15
3116,2.7588015010274985e-06,2.4588015010274984e-06,10
3117,2.8027528746269776e-06,2.5027528746269775e-06,10
3118,4.988965176976897e-06,4.1889651769768974e-06,15
3119,4.771556695019883e-06,3.971556695019883e-06,15
3120,4.83342574584823e-06,4.03342574584823e-06,15
3121,3.5152634190055807e-06,2.7152634190055807e-06,15
3122,3.149800768898115e-06,2.549800768898115e-06,13
3123,3.846187008567132e-06,3.046187008567132e-06,15
3124,1.6714950972010732e-06,2.3714950972010733e-06,7
3125,1.4810993320166343e-06,2.1810993320166343e-06,7
3126,1.2934595084514915e-06,1.9934595084514916e-06,7
3127,4.891279096981334e-06,4.091279096981334e-06,15
3128,1.1087981497919083e-06,1.8087981497919084e-06,7
3129,1.1722008577358336e-06,1.8722008577358337e-06,7
3130,4.4891203468296745e-06,3.6891203468296746e-06,15
3131,3.442915231418875e-06,2.642915231418875e-06,15
3132,2.5818156360934133e-06,2.4818156360934134e-06,8
3133,1.1085117269214112e-06,1.808511726921411e-06,7
3134,4.260875168487627e-06,3.4608751684876274e-06,15
3135,4.9500686352302685e-06,4.1500686352302686e-06,15
3136,1.3989021905240745e-06,2.0989021905240746e-06,7
3137,3.982484993450672e-06,3.182484993450672e-06,15
3138,4.1403092784033156e-06,3.3403092784033156e-06,15
3139,2.6929931627991365e-06,2.4929931627991367e-06,9
3140,1.158518545905e-06,1.858518545905e-06,7
3141,2.4686032931135447e-06,2.4686032931135447e-06,0
3142,4.8319893675660236e-06,4.031989367566024e-06,15
3143,1.8053149795769553e-06,2.5053149795769554e-06,7
3144,2.8886912806441564e-06,2.4886912806441564e-06,11
3145,1.907372959534029e-06,2.5073729595340286e-06,6
3146,1.3647570740422546e-06,2.0647570740422547e-06,7
3147,3.4625799323126036e-06,2.6625799323126036e-06,15
3148,4.685482079267542e-06,3.885482079267542e-06,15
3149,2.284076113667612e-06,2.4840761136676116e-06,2
3150,3.7918635496307607e-06,2.9918635496307608e-06,15
3151,1.1745333960131595e-06,1.8745333960131595e-06,7
3152,3.0587445780134066e-06,2.4587445780134064e-06,13
3153,1.1847156340393026e-06,1.8847156340393024e-06,7
3154,4.729141152356867e-06,3.929141152356867e-06,15
3155,3.960500121648849e-06,3.160500121648849e-06,15
3156,3.8056950618095844e-06,3.0056950618095844e-06,15
3157,3.2941483038766443e-06,2.4941483038766443e-06,15
3158,2.9114824320538406e-06,2.5114824320538406e-06,11
3159,3.0946990800197387e-06,2.4946990800197385e-06,13
3160,4.389342583205625e-06,3.5893425832056254e-06,15
3161,3.536185659736815e-06,2.7361856597368152e-06,15
3162,1.815758138559049e-06,2.515758138559049e-06,7
3163,2.2166510957998914e-06,2.5166510957998915e-06,3
3164,4.288639290031812e-06,3.488639290031812e-06,15
3165,2.750101833455615e-06,2.450101833455615e-06,10
3166,3.689743421570305e-06,2.889743421570305e-06,15
3167,1.3873899071225644e-06,2.0873899071225644e-06,7
3168,2.703146213359429e-06,2.5031462133594287e-06,9
3169,3.234391628655326e-06,2.534391628655326e-06,14
3170,2.6437443452183956e-06,2.5437443452183957e-06,8
3171,2.6662875726049954e-06,2.4662875726049956e-06,9
3172,3.9534748572476226e-06,3.1534748572476226e-06,15
3173,4.042091190728818e-06,3.242091190728818e-06,15
3174,1.1951267171882711e-06,1.895126717188271e-06,7
3175,4.151347608712596e-06,3.3513476087125964e-06,15
3176,1.2987535057944961e-06,1.998753505794496e-06,7
3177,1.3538896102455257e-06,2.0538896102455258e-06,7
3178,2.558910663127626e-06,2.458910663127626e-06,8
3179,4.878056172675848e-06,4.078056172675848e-06,15
3180,3.6430013011572975e-06,2.8430013011572975e-06,15
3181,3.2717162379901594e-06,2.4717162379901594e-06,15
3182,4.287072994631356e-06,3.4870729946313565e-06,15
3183,3.713721607713671e-06,2.913721607713671e-06,15
3184,2.788224629829768e-06,2.488224629829768e-06,10
3185,4.160149487462369e-06,3.360149487462369e-06,15
3186,4.151446849085679e-06,3.351446849085679e-06,15
3187,3.176931318723995e-06,2.476931318723995e-06,14
3188,4.369780993073761e-06,3.5697809930737614e-06,15
3189,4.723426835774831e-06,3.923426835774831e-06,15
3190,1.7012537413420585e-06,2.4012537413420586e-06,7
3191,2.113002736452882e-06,2.513002736452882e-06,4
3192,1.9024495670782768e-06,2.5024495670782767e-06,6
3193,1.648517003114789e-06,2.348517003114789e-06,7
3194,1.4635446876277684e-06,2.1635446876277684e-06,7
3195,2.5391094481111163e-06,2.5391094481111163e-06,0
3196,4.9105393510523695e-06,4.1105393510523695e-06,15
3197,1.6407538748607144e-06,2.3407538748607145e-06,7
3198,3.4406451814204706e-06,2.6406451814204706e-06,15
3199,1.9293870526773957e-06,2.529387052677396e-06,6
3200,3.2590728301242442e-06,2.4590728301242443e-06,15
3201,3.4711756291004957e-06,2.6711756291004957e-06,15
3202,2.4009564456630606e-06,2.5009564456630605e-06,1
3203,4.404452114469682e-06,3.604452114469682e-06,15
3204,1.496855587905798e-06,2.196855587905798e-06,7
3205,4.249717813892736e-06,3.4497178138927358e-06,15
3206,3.095420961544838e-06,2.495420961544838e-06,13
3207,4.7775928867887025e-06,3.9775928867887025e-06,15
3208,3.845107167843802e-06,3.0451071678438017e-06,15
3209,1.6129141713865472e-06,2.312914171386547e-06,7
3210,3.958025878563173e-06,3.158025878563173e-06,15
3211,1.1073023083398858e-06,1.8073023083398859e-06,7
3212,4.238304534213066e-06,3.4383045342130664e-06,15
3213,3.361167039638063e-06,2.561167039638063e-06,15
3214,2.2285177079236453e-06,2.5285177079236454e-06,3
3215,4.660423837395957e-06,3.860423837395957e-06,15
3216,4.689911632825886e-06,3.889911632825886e-06,15
3217,3.210253630227336e-06,2.510253630227336e-06,14
3218,1.6085633946150663e-06,2.3085633946150664e-06,7
3219,2.674225473056362e-06,2.474225473056362e-06,9
3220,1.822969416026196e-06,2.522969416026196e-06,7
3221,4.766975804306836e-06,3.966975804306836e-06,15
3222,2.5413000636081278e-06,2.5413000636081278e-06,0
3223,3.2833306986293046e-06,2.4833306986293046e-06,15
3224,4.9398479370985974e-06,4.1398479370985975e-06,15
3225,3.722864949941794e-06,2.922864949941794e-06,15
3226,2.3918957522861105e-06,2.4918957522861104e-06,1
3227,3.942190269037144e-06,3.1421902690371444e-06,15
3228,1.9045618531764867e-06,2.5045618531764866e-06,6
3229,4.796649080954961e-06,3.996649080954961e-06,15
3230,4.251478126249661e-06,3.451478126249661e-06,15
3231,2.920357518776135e-06,2.520357518776135e-06,11
3232,1.3379400980147444e-06,2.0379400980147443e-06,7
3233,4.739906044451466e-06,3.939906044451466e-06,15
3234,3.310033695121514e-06,2.510033695121514e-06,15
3235,3.943489788755908e-06,3.1434897887559077e-06,15
3236,4.2037949257973456e-06,3.4037949257973456e-06,15
3237,4.338071859270868e-06,3.538071859270868e-06,15
3238,2.746381327362704e-06,2.546381327362704e-06,9
3239,3.277201413532654e-06,2.477201413532654e-06,15
3240,2.762546298749644e-06,2.462546298749644e-06,10
3241,2.2505208177158427e-06,2.450520817715843e-06,2
3242,1.1609794725463215e-06,1.8609794725463216e-06,7
3243,2.1899486529732373e-06,2.4899486529732374e-06,3
3244,1.6505723664373805e-06,2.3505723664373806e-06,7
3245,2.7655636106907293e-06,2.465563610690729e-06,10
3246,4.132573831665758e-06,3.3325738316657583e-06,15
3247,4.025521035871928e-06,3.225521035871928e-06,15
3248,2.690309571347444e-06,2.4903095713474442e-06,9
3249,4.6837562377979545e-06,3.8837562377979545e-06,15
3250,3.4835925747356713e-06,2.6835925747356714e-06,15
3251,4.484322827315137e-06,3.6843228273151373e-06,15
3252,3.4712570977878065e-06,2.6712570977878066e-06,15
3253,4.576705542641226e-06,3.7767055426412257e-06,15
3254,2.564799263674201e-06,2.464799263674201e-06,8
3255,1.5452498233615937e-06,2.245249823361594e-06,7
3256,2.792896764715113e-06,2.492896764715113e-06,10
3257,4.451430970084055e-06,3.651430970084055e-06,15
3258,1.7179109758136942e-06,2.417910975813694e-06,7
3259,3.3545232247340135e-06,2.5545232247340136e-06,15
3260,2.946580091905169e-06,2.546580091905169e-06,11
3261,2.8034426424191763e-06,2.503442642419176e-06,10
3262,2.7219517601240512e-06,2.5219517601240514e-06,9
3263,2.4708039839298654e-06,2.4708039839298654e-06,0
3264,3.5233857669556237e-06,2.7233857669556237e-06,15
3265,3.8283140209726495e-06,3.0283140209726495e-06,15
3266,2.5135364212419347e-06,2.5135364212419347e-06,0
3267,3.822398082781995e-06,3.022398082781995e-06,15
3268,4.409456815811455e-06,3.6094568158114547e-06,15
3269,2.03889998843138e-06,2.53889998843138e-06,5
3270,2.362788507606491e-06,2.4627885076064907e-06,1
3271,2.9322239839811656e-06,2.5322239839811656e-06,11
3272,2.571501330404422e-06,2.471501330404422e-06,8
3273,2.967184056561393e-06,2.467184056561393e-06,12
3274,2.0520215072957706e-06,2.4520215072957705e-06,4
3275,1.112418819708355e-06,1.812418819708355e-06,7
3276,2.9950096454215e-06,2.4950096454215e-06,12
3277,3.608024273476192e-06,2.808024273476192e-06,15
3278,1.9556357607641293e-06,2.455635760764129e-06,5
3279,4.973375011602263e-06,4.173375011602263e-06,15
3280,1.061356974191019e-06,1.7613569741910188e-06,7
3281,4.345459921315213e-06,3.545459921315213e-06,15
3282,3.638360511718406e-06,2.838360511718406e-06,15
3283,3.460130463428564e-06,2.660130463428564e-06,15
3284,1.07364665806267e-06,1.7736466580626702e-06,7
3285,4.672345862186815e-06,3.872345862186815e-06,15
3286,3.532843599089226e-06,2.7328435990892262e-06,15
3287,3.694456678737059e-06,2.894456678737059e-06,15
3288,3.5314511579870786e-06,2.7314511579870786e-06,15
3289,2.2684665742133736e-06,2.4684665742133738e-06,2
3290,2.9064888843029743e-06,2.5064888843029743e-06,11
3291,4.260988861658311e-06,3.460988861658311e-06,15
3292,4.307674697289563e-06,3.5076746972895628e-06,15
3293,3.758802424072034e-06,2.958802424072034e-06,15
3294,1.2931545048251624e-06,1.9931545048251625e-06,7
3295,2.9935573953920638e-06,2.493557395392064e-06,12
3296,2.0805674409525344e-06,2.4805674409525344e-06,4
3297,2.58315122591594e-06,2.48315122591594e-06,8
3298,2.7360611248035386e-06,2.536061124803539e-06,9
3299,3.379609199014086e-06,2.579609199014086e-06,15
3300,2.8933279141589035e-06,2.4933279141589035e-06,11
3301,1.8653369603713532e-06,2.465336960371353e-06,6
3302,1.2625592515321036e-06,1.9625592515321037e-06,7
3303,1.8517479994804798e-06,2.4517479994804798e-06,6
3304,1.4756565557294476e-06,2.1756565557294477e-06,7
3305,3.012510780447054e-06,2.512510780447054e-06,12
3306,3.706372214288829e-06,2.906372214288829e-06,15
3307,2.71805996599978e-06,2.51805996599978e-06,9
3308,3.318036037136714e-06,2.518036037136714e-06,15
3309,2.6646892606263572e-06,2.464689260626357e-06,9
3310,2.416865850382602e-06,2.516865850382602e-06,1
3311,1.955389920605161e-06,2.4553899206051607e-06,5
3312,4.374898151870751e-06,3.5748981518707507e-06,15
3313,3.1241873514750466e-06,2.5241873514750464e-06,13
3314,3.855507944521451e-06,3.055507944521451e-06,15
3315,1.923300338829226e-06,2.523300338829226e-06,6
3316,4.149131181192018e-06,3.3491311811920183e-06,15
3317,3.6497729997512354e-06,2.8497729997512354e-06,15
3318,2.3568327923944645e-06,2.4568327923944644e-06,1
3319,4.372176782625827e-06,3.572176782625827e-06,15
3320,1.898677501682505e-06,2.498677501682505e-06,6
3321,4.245602035010854e-06,3.4456020350108543e-06,15
3322,1.754043724272016e-06,2.454043724272016e-06,7
3323,3.908266123504877e-06,3.108266123504877e-06,15
3324,3.8058816090162257e-06,3.0058816090162257e-06,15
3325,3.9814948450368635e-06,3.1814948450368635e-06,15
3326,2.0339470038430575e-06,2.5339470038430573e-06,5
3327,1.9547780498192424e-06,2.4547780498192423e-06,5
3328,3.9797691397978165e-06,3.1797691397978165e-06,15
3329,2.2748877083458917e-06,2.4748877083458915e-06,2
3330,1.1755836640761066e-06,1.8755836640761067e-06,7
3331,4.378608186402771e-06,3.5786081864027707e-06,15
3332,1.4200227197179376e-06,2.1200227197179375e-06,7
3333,1.5282423353167484e-06,2.2282423353167484e-06,7
3334,1.622787937486125e-06,2.322787937486125e-06,7
3335,4.508561937520625e-06,3.7085619375206252e-06,15
3336,1.9107957595678347e-06,2.510795759567835e-06,6
3337,1.7349313384578044e-06,2.4349313384578045e-06,7
3338,4.072518923776082e-06,3.272518923776082e-06,15
3339,2.7733524329833136e-06,2.4733524329833135e-06,10
3340,2.9977071571629273e-06,2.4977071571629275e-06,12
3341,3.957624471268435e-06,3.1576244712684353e-06,15
3342,3.5486890266662086e-06,2.7486890266662086e-06,15
3343,1.4557382070149032e-06,2.1557382070149033e-06,7
3344,3.501253395115882e-06,2.701253395115882e-06,15
3345,4.35441686373445e-06,3.5544168637344497e-06,15
3346,2.492039354694806e-06,2.492039354694806e-06,0
3347,2.1722303421632155e-06,2.4722303421632156e-06,3
3348,1.8704043694953207e-06,2.4704043694953205e-06,6
3349,3.2209804089930286e-06,2.5209804089930286e-06,14
3350,2.808242672517906e-06,2.5082426725179058e-06,10
3351,2.769800717797197e-06,2.469800717797197e-06,10
3352,3.3815768728769518e-06,2.5815768728769518e-06,15
3353,1.5497502540672863e-06,2.2497502540672864e-06,7
3354,1.4836708284182136e-06,2.1836708284182136e-06,7
3355,3.1169243944601184e-06,2.5169243944601182e-06,13
3356,3.495260758978851e-06,2.695260758978851e-06,15
3357,3.338143808542169e-06,2.538143808542169e-06,15
3358,3.2449374953866733e-06,2.5449374953866732e-06,14
3359,3.931168357760243e-06,3.1311683577602426e-06,15
3360,4.920437829574993e-06,4.120437829574993e-06,15
3361,2.113167181438164e-06,2.513167181438164e-06,4
3362,4.845189098454995e-06,4.045189098454995e-06,15
3363,4.02001765512702e-06,3.22001765512702e-06,15
3364,2.2795919646738577e-06,2.479591964673858e-06,2
3365,2.3283412277665546e-06,2.5283412277665544e-06,2
3366,3.5817179015603152e-06,2.7817179015603153e-06,15
3367,3.6016529404562345e-06,2.8016529404562346e-06,15
3368,3.938226663525381e-06,3.1382266635253812e-06,15
3369,3.931506920791198e-06,3.1315069207911983e-06,15
3370,2.27259462753495e-06,2.4725946275349504e-06,2
3371,4.048520044870881e-06,3.248520044870881e-06,15
3372,3.1601363640708397e-06,2.4601363640708396e-06,14
3373,3.4447894774415137e-06,2.6447894774415137e-06,15
3374,1.9784736095432747e-06,2.4784736095432746e-06,5
3375,4.936348892929298e-06,4.136348892929298e-06,15
3376,3.5317548447434212e-06,2.7317548447434213e-06,15
3377,3.5302501711647704e-06,2.7302501711647705e-06,15
3378,4.02739637570474e-06,3.2273963757047398e-06,15
3379,4.1905896088101325e-06,3.3905896088101326e-06,15
3380,1.5270188972707621e-06,2.227018897270762e-06,7
