Corriente inicial (A),Corriente final (A),Valor del registro 1,Valor del registro 2
1.81256922550211e-06,2.5125692255021092e-06,7,0
3.323545172890918e-06,2.523545172890919e-06,15,7
2.9511179154398366e-06,2.451117915439837e-06,12,-1
3.4465735700995414e-06,2.5465735700995424e-06,15,8
3.7370092256123234e-06,2.5370092256123247e-06,15,11
2.5780795267408447e-06,2.4780795267408448e-06,8,-1
1.490148052700762e-06,2.490148052700761e-06,7,3
3.0728402794648328e-06,2.4728402794648334e-06,13,-1
1.2148166802564235e-06,2.5148166802564223e-06,7,6
3.165682751573963e-06,2.4656827515739637e-06,14,-1
1.3813396019134947e-06,2.4813396019134935e-06,7,4
1.0673000234896284e-06,2.467300023489627e-06,7,7
1.714857418311002e-06,2.514857418311001e-06,7,1
1.9153156227083315e-06,2.515315622708331e-06,6,-1
3.982238504734011e-06,2.482238504734013e-06,15,14
2.02211000084244e-06,2.5221100008424393e-06,5,-1
4.149605433493497e-06,2.549605433493499e-06,15,15
4.126233184469749e-06,2.5262331844697506e-06,15,15
2.4100794253796273e-06,2.510079425379627e-06,1,-1
2.296506896231491e-06,2.496506896231491e-06,2,-1
4.21641218676238e-06,2.616412186762382e-06,15,15
2.7758375774217085e-06,2.475837577421709e-06,10,-1
1.118796678052954e-06,2.5187966780529526e-06,7,7
4.87136069586266e-06,3.2713606958626615e-06,15,15
4.794487300892893e-06,3.1944873008928944e-06,15,15
4.606005634561519e-06,3.0060056345615206e-06,15,15
1.5769592249396016e-06,2.4769592249396006e-06,7,2
3.3237676232689552e-06,2.523767623268956e-06,15,7
2.808263461396226e-06,2.5082634613962264e-06,10,-1
1.4317774203790234e-06,2.531777420379022e-06,7,4
2.103671640390159e-06,2.5036716403901585e-06,4,-1
4.600895519437253e-06,3.0008955194372544e-06,15,15
2.3691986102150773e-06,2.469198610215077e-06,1,-1
2.4049499577966094e-06,2.5049499577966093e-06,1,-1
4.158655664532423e-06,2.5586556645324244e-06,15,15
2.9337318486000177e-06,2.533731848600018e-06,11,-1
1.2983490576911568e-06,2.4983490576911554e-06,7,5
4.036700771079906e-06,2.5367007710799075e-06,15,14
2.493344748991047e-06,2.493344748991047e-06,0,0
3.2471710283107827e-06,2.5471710283107835e-06,14,-1
4.259566146212635e-06,2.659566146212637e-06,15,15
3.38207493411531e-06,2.482074934115311e-06,15,8
3.5975977929671877e-06,2.497597792967189e-06,15,10
3.159506530026772e-06,2.4595065300267727e-06,14,-1
1.211914526594274e-06,2.511914526594273e-06,7,6
2.3769831283176188e-06,2.4769831283176187e-06,1,-1
1.1824372083415758e-06,2.4824372083415745e-06,7,6
1.268409035037615e-06,2.468409035037614e-06,7,5
4.055526297853583e-06,2.4555262978535844e-06,15,15
1.3630327296956884e-06,2.4630327296956872e-06,7,4
2.5876259464087907e-06,2.487625946408791e-06,8,-1
2.73766724710977e-06,2.53766724710977e-06,9,-1
1.0345913493290739e-06,2.4345913493290725e-06,7,7
3.0239066677993625e-06,2.523906667799363e-06,12,-1
2.1162495471717067e-06,2.5162495471717063e-06,4,-1
3.228152592694744e-06,2.5281525926947447e-06,14,-1
2.538818329783641e-06,2.538818329783641e-06,0,0
3.2595839010885006e-06,2.4595839010885015e-06,15,7
2.5850516143241867e-06,2.4850516143241868e-06,8,-1
1.6085851313731677e-06,2.5085851313731667e-06,7,2
3.0691338398620716e-06,2.4691338398620723e-06,13,-1
1.1761889347867025e-06,2.4761889347867013e-06,7,6
4.435022628536854e-06,2.8350226285368557e-06,15,15
4.841301658351115e-06,3.241301658351117e-06,15,15
2.2014494891924383e-06,2.501449489192438e-06,3,-1
3.7928935479352075e-06,2.492893547935209e-06,15,12
3.9900243212029605e-06,2.490024321202962e-06,15,14
1.981872332851504e-06,2.4818723328515035e-06,5,-1
4.115265730258781e-06,2.5152657302587824e-06,15,15
2.328408669171039e-06,2.5284086691710386e-06,2,-1
1.2551339222181435e-06,2.4551339222181424e-06,7,5
3.8001803130269912e-06,2.5001803130269927e-06,15,12
2.9362037787394884e-06,2.536203778739489e-06,11,-1
2.596232560551811e-06,2.496232560551811e-06,8,-1
4.678473197087209e-06,3.078473197087211e-06,15,15
3.115224276164762e-06,2.5152242761647628e-06,13,-1
3.819982950741858e-06,2.519982950741859e-06,15,12
4.418038637095518e-06,2.81803863709552e-06,15,15
2.1240771747548606e-06,2.52407717475486e-06,4,-1
3.729907655789412e-06,2.529907655789413e-06,15,11
2.367412634633784e-06,2.4674126346337837e-06,1,-1
2.387272796781747e-06,2.487272796781747e-06,1,-1
3.692983340341483e-06,2.4929833403414845e-06,15,11
3.4901037065681824e-06,2.4901037065681835e-06,15,9
4.183457475040167e-06,2.5834574750401688e-06,15,15
1.4748705384592853e-06,2.4748705384592844e-06,7,3
4.4556734447599505e-06,2.8556734447599523e-06,15,15
3.7526275674627926e-06,2.452627567462794e-06,15,12
2.341424138171852e-06,2.5414241381718516e-06,2,-1
4.911975797869767e-06,3.311975797869769e-06,15,15
4.784754119859529e-06,3.1847541198595306e-06,15,15
1.5032799031530484e-06,2.5032799031530473e-06,7,3
4.708299102195101e-06,3.108299102195103e-06,15,15
2.8330173593169663e-06,2.5330173593169666e-06,10,-1
4.3470894818289155e-06,2.7470894818289172e-06,15,15
2.084352242434291e-06,2.4843522424342904e-06,4,-1
2.550225180441893e-06,2.450225180441893e-06,8,-1
2.779142906074199e-06,2.4791429060741994e-06,10,-1
4.107712794002624e-06,2.507712794002626e-06,15,15
3.1527729789071483e-06,2.452772978907149e-06,14,-1
2.499215021758915e-06,2.499215021758915e-06,0,0
1.2211927272203398e-06,2.5211927272203383e-06,7,6
2.955401817272554e-06,2.4554018172725544e-06,12,-1
2.2682562593011945e-06,2.4682562593011943e-06,2,-1
3.614631708284588e-06,2.5146317082845894e-06,15,10
1.1582519055601326e-06,2.458251905560131e-06,7,6
1.8426841518731757e-06,2.542684151873175e-06,7,0
2.733526497679182e-06,2.533526497679182e-06,9,-1
2.252784930339584e-06,2.4527849303395838e-06,2,-1
3.968469109747106e-06,2.4684691097471074e-06,15,14
3.487561725786168e-06,2.487561725786169e-06,15,9
4.237262379891781e-06,2.6372623798917827e-06,15,15
4.864239724570479e-06,3.2642397245704806e-06,15,15
1.7907365865075953e-06,2.4907365865075947e-06,7,0
4.0214821962159694e-06,2.521482196215971e-06,15,14
1.1595167525514607e-06,2.4595167525514592e-06,7,6
4.387568717580923e-06,2.787568717580925e-06,15,15
2.9342760936898876e-06,2.534276093689888e-06,11,-1
4.91541476478712e-06,3.3154147647871217e-06,15,15
1.7682393391625244e-06,2.4682393391625236e-06,7,0
1.5779384213355111e-06,2.47793842133551e-06,7,2
4.038575941792405e-06,2.5385759417924065e-06,15,14
2.4917430600474357e-06,2.4917430600474357e-06,0,0
4.605692806516845e-06,3.005692806516847e-06,15,15
4.62740043680461e-06,3.027400436804612e-06,15,15
2.641771058891943e-06,2.5417710588919433e-06,8,-1
2.238341344817056e-06,2.5383413448170556e-06,3,-1
1.0794021578577211e-06,2.4794021578577196e-06,7,7
3.686868907190452e-06,2.4868689071904535e-06,15,11
3.899530441189021e-06,2.4995304411890223e-06,15,13
1.1312905794697104e-06,2.531290579469709e-06,7,7
3.323230304782719e-06,2.52323030478272e-06,15,7
2.9672400376934265e-06,2.467240037693427e-06,12,-1
3.223972947150164e-06,2.5239729471501647e-06,14,-1
4.739729996246612e-06,3.1397299962466134e-06,15,15
4.397700063909732e-06,2.797700063909734e-06,15,15
3.170785455172796e-06,2.470785455172797e-06,14,-1
3.633750035545491e-06,2.533750035545492e-06,15,10
4.072037432931123e-06,2.472037432931125e-06,15,15
2.910316302467795e-06,2.5103163024677955e-06,11,-1
1.7042705724686344e-06,2.5042705724686336e-06,7,1
4.448346371410735e-06,2.8483463714107365e-06,15,15
1.2922564728425754e-06,2.492256472842574e-06,7,5
3.101746033663451e-06,2.501746033663452e-06,13,-1
1.8232413397607723e-06,2.5232413397607715e-06,7,0
2.456318068246697e-06,2.456318068246697e-06,0,0
3.3907831417453123e-06,2.4907831417453133e-06,15,8
2.5949404128206656e-06,2.4949404128206657e-06,8,-1
4.8608159887042716e-06,3.2608159887042733e-06,15,15
1.1266298961693883e-06,2.526629896169387e-06,7,7
1.5355117978823124e-06,2.5355117978823115e-06,7,3
1.7303638927569242e-06,2.5303638927569233e-06,7,1
2.719360140463293e-06,2.5193601404632934e-06,9,-1
3.5509283098792205e-06,2.4509283098792217e-06,15,10
1.7495234950824283e-06,2.5495234950824274e-06,7,1
1.253791341102692e-06,2.453791341102691e-06,7,5
3.204223247391894e-06,2.504223247391895e-06,14,-1
4.281768180862476e-06,2.6817681808624774e-06,15,15
3.601548854865979e-06,2.5015488548659803e-06,15,10
3.2584129322553134e-06,2.4584129322553143e-06,15,7
1.785725100526125e-06,2.4857251005261245e-06,7,0
2.6398572829822607e-06,2.5398572829822608e-06,8,-1
1.105526083882185e-06,2.5055260838821834e-06,7,7
2.8487879341822326e-06,2.548787934182233e-06,10,-1
3.7945487396125824e-06,2.494548739612584e-06,15,12
1.7117489249329632e-06,2.5117489249329624e-06,7,1
2.7821195575757877e-06,2.482119557575788e-06,10,-1
2.101837855307555e-06,2.5018378553075544e-06,4,-1
4.494137814935626e-06,2.8941378149356276e-06,15,15
3.932163354594446e-06,2.5321633545944476e-06,15,13
3.360361521491489e-06,2.46036152149149e-06,15,8
3.2030152634741467e-06,2.5030152634741474e-06,14,-1
1.4177707872716306e-06,2.5177707872716294e-06,7,4
4.452027501429805e-06,2.852027501429807e-06,15,15
3.5682728440312262e-06,2.4682728440312275e-06,15,10
4.31975240933266e-06,2.7197524093326614e-06,15,15
4.804219065101187e-06,3.204219065101189e-06,15,15
4.342797927019275e-06,2.742797927019277e-06,15,15
1.9953403032167358e-06,2.4953403032167352e-06,5,-1
3.2193418249728664e-06,2.519341824972867e-06,14,-1
4.69913095970347e-06,3.0991309597034717e-06,15,15
1.5782001912883761e-06,2.478200191288375e-06,7,2
1.0253051452286122e-06,2.4253051452286106e-06,7,7
1.8074363917074765e-06,2.5074363917074757e-06,7,0
1.4381379906003011e-06,2.5381379906003e-06,7,4
1.564948255816822e-06,2.464948255816821e-06,7,2
2.5999865703307667e-06,2.4999865703307668e-06,8,-1
3.329240450170314e-06,2.529240450170315e-06,15,7
1.4831300440134509e-06,2.4831300440134497e-06,7,3
1.7501974254665132e-06,2.4501974254665124e-06,7,0
2.505122881664294e-06,2.505122881664294e-06,0,0
4.0826368714914715e-06,2.4826368714914733e-06,15,15
3.2400240955264193e-06,2.54002409552642e-06,14,-1
2.400992679579439e-06,2.500992679579439e-06,1,-1
4.488663921311929e-06,2.8886639213119308e-06,15,15
2.6392387301406767e-06,2.5392387301406768e-06,8,-1
4.5597698796663105e-06,2.9597698796663122e-06,15,15
4.431785035434774e-06,2.831785035434776e-06,15,15
4.553599902521026e-06,2.9535999025210276e-06,15,15
1.3902065482378503e-06,2.4902065482378493e-06,7,4
1.85552377098283e-06,2.4555237709828293e-06,6,-1
1.6366409096262392e-06,2.536640909626238e-06,7,2
3.5996234429262216e-06,2.4996234429262228e-06,15,10
1.7361666969376548e-06,2.536166696937654e-06,7,1
4.059147685456136e-06,2.4591476854561374e-06,15,15
1.3721705363765642e-06,2.472170536376563e-06,7,4
4.679282225090418e-06,3.0792822250904196e-06,15,15
4.651580054026773e-06,3.051580054026775e-06,15,15
4.069113462221829e-06,2.469113462221831e-06,15,15
4.121669476331983e-06,2.521669476331985e-06,15,15
4.136183440759783e-06,2.5361834407597848e-06,15,15
3.706532307951048e-06,2.5065323079510495e-06,15,11
1.2757047560151808e-06,2.4757047560151794e-06,7,5
1.138059167427798e-06,2.5380591674277966e-06,7,7
4.508044346473471e-06,2.9080443464734724e-06,15,15
4.080205391835664e-06,2.480205391835666e-06,15,15
1.4970476218000193e-06,2.497047621800018e-06,7,3
2.2427437483868895e-06,2.542743748386889e-06,3,-1
1.4688564451785328e-06,2.4688564451785317e-06,7,3
1.136149976149439e-06,2.5361499761494376e-06,7,7
2.3264470742772552e-06,2.526447074277255e-06,2,-1
1.934851538097364e-06,2.5348515380973633e-06,6,-1
3.6891369441541983e-06,2.4891369441541996e-06,15,11
1.962620511732931e-06,2.4626205117329303e-06,5,-1
1.090927102858517e-06,2.4909271028585158e-06,7,7
1.1248347519569672e-06,2.524834751956966e-06,7,7
4.687647883077875e-06,3.087647883077877e-06,15,15
2.917567922810386e-06,2.5175679228103866e-06,11,-1
1.2267719883957934e-06,2.526771988395792e-06,7,6
3.064777548993203e-06,2.4647775489932037e-06,13,-1
3.578067119222161e-06,2.4780671192221622e-06,15,10
4.702311845570292e-06,3.102311845570294e-06,15,15
3.4878408401658285e-06,2.4878408401658296e-06,15,9
2.76079798352994e-06,2.4607979835299404e-06,10,-1
4.213311759299976e-06,2.6133117592999776e-06,15,15
3.6755199726045094e-06,2.4755199726045108e-06,15,11
3.2695271547331153e-06,2.469527154733116e-06,15,7
2.9712823679807387e-06,2.4712823679807393e-06,12,-1
3.461103824334225e-06,2.461103824334226e-06,15,9
2.495585838392271e-06,2.495585838392271e-06,0,0
4.916347898203473e-06,3.316347898203475e-06,15,15
2.4827199380592335e-06,2.4827199380592335e-06,0,0
1.2018967950330118e-06,2.5018967950330106e-06,7,6
1.4828088608468493e-06,2.4828088608468484e-06,7,3
4.721342516109742e-06,3.121342516109744e-06,15,15
1.1409113751781321e-06,2.5409113751781306e-06,7,7
2.2307460773557757e-06,2.5307460773557754e-06,3,-1
2.9907456368603915e-06,2.490745636860392e-06,12,-1
4.287627473165359e-06,2.6876274731653607e-06,15,15
1.9985684640437338e-06,2.498568464043733e-06,5,-1
1.3497855344845488e-06,2.5497855344845477e-06,7,5
1.1741198952369687e-06,2.4741198952369672e-06,7,6
2.684066144480416e-06,2.4840661444804164e-06,9,-1
3.6330500490599203e-06,2.5330500490599216e-06,15,10
4.19328605278845e-06,2.593286052788452e-06,15,15
4.303662047285231e-06,2.7036620472852325e-06,15,15
1.5883362795569082e-06,2.488336279556907e-06,7,2
1.865924746573867e-06,2.4659247465738663e-06,6,-1
2.149942781467352e-06,2.5499427814673517e-06,4,-1
4.283771060433362e-06,2.683771060433364e-06,15,15
2.6895563556888222e-06,2.4895563556888225e-06,9,-1
4.10086519537005e-06,2.500865195370052e-06,15,15
2.014354790385485e-06,2.5143547903854844e-06,5,-1
4.724162447378136e-06,3.124162447378138e-06,15,15
2.2903679118881516e-06,2.4903679118881514e-06,2,-1
3.4971760416793873e-06,2.4971760416793884e-06,15,9
1.1053735218381023e-06,2.5053735218381007e-06,7,7
3.6177592758472905e-06,2.5177592758472917e-06,15,10
2.543822148208014e-06,2.543822148208014e-06,0,0
2.292072122200776e-06,2.4920721222007757e-06,2,-1
3.246337457441988e-06,2.546337457441989e-06,14,-1
2.676063182638125e-06,2.4760631826381254e-06,9,-1
1.6533710757853523e-06,2.4533710757853515e-06,7,1
1.6546693329002746e-06,2.4546693329002737e-06,7,1
2.019627745400596e-06,2.5196277454005955e-06,5,-1
3.378043409502742e-06,2.478043409502743e-06,15,8
2.0877986449585905e-06,2.48779864495859e-06,4,-1
4.870629378926786e-06,3.270629378926788e-06,15,15
3.33374508163084e-06,2.533745081630841e-06,15,7
1.7965275548660707e-06,2.49652755486607e-06,7,0
2.447468074242236e-06,2.547468074242236e-06,1,-1
4.936679060096176e-06,3.3366790600961776e-06,15,15
2.5288947963890463e-06,2.5288947963890463e-06,0,0
3.1235220218743514e-06,2.523522021874352e-06,13,-1
1.8322290944090384e-06,2.5322290944090377e-06,7,0
2.6152649321867776e-06,2.5152649321867777e-06,8,-1
1.497032187918066e-06,2.497032187918065e-06,7,3
1.711119112989639e-06,2.5111191129896384e-06,7,1
2.465630911966107e-06,2.465630911966107e-06,0,0
4.0265155174140684e-06,2.52651551741407e-06,15,14
2.2355786349718183e-06,2.535578634971818e-06,3,-1
3.2032870478476026e-06,2.5032870478476034e-06,14,-1
4.149319126515066e-06,2.5493191265150676e-06,15,15
2.644078513380655e-06,2.544078513380655e-06,8,-1
2.1215037181696913e-06,2.521503718169691e-06,4,-1
1.7619607511002725e-06,2.4619607511002717e-06,7,0
1.3853644577770147e-06,2.4853644577770135e-06,7,4
1.1616179821697e-06,2.4616179821696985e-06,7,6
2.3650553337133738e-06,2.4650553337133737e-06,1,-1
1.948345226043645e-06,2.5483452260436444e-06,6,-1
2.2125512536612226e-06,2.5125512536612223e-06,3,-1
4.624849374877481e-06,3.024849374877483e-06,15,15
3.9928101435129455e-06,2.492810143512947e-06,15,14
4.005946045595954e-06,2.5059460455959555e-06,15,14
1.285109567834241e-06,2.4851095678342396e-06,7,5
4.837124367031986e-06,3.237124367031988e-06,15,15
2.1929077125466207e-06,2.4929077125466203e-06,3,-1
3.880793044356414e-06,2.480793044356415e-06,15,13
3.3707118234261575e-06,2.4707118234261585e-06,15,8
1.8155042166209726e-06,2.515504216620972e-06,7,0
2.0876847554496222e-06,2.487684755449622e-06,4,-1
1.7667081643058614e-06,2.4667081643058606e-06,7,0
4.596369357490823e-06,2.9963693574908246e-06,15,15
2.0099022531211795e-06,2.509902253121179e-06,5,-1
4.98277879372096e-06,3.382778793720962e-06,15,15
2.0621362266932177e-06,2.4621362266932173e-06,4,-1
1.1650906719499257e-06,2.4650906719499242e-06,7,6
4.92829011910932e-06,3.3282901191093217e-06,15,15
4.5363054619611125e-06,2.9363054619611143e-06,15,15
2.3453135294545235e-06,2.5453135294545232e-06,2,-1
1.278478681219723e-06,2.4784786812197218e-06,7,5
4.896940588521932e-06,3.296940588521934e-06,15,15
2.991829266723472e-06,2.4918292667234725e-06,12,-1
3.4666823272207903e-06,2.4666823272207914e-06,15,9
4.856606314386263e-06,3.256606314386265e-06,15,15
4.669902616476932e-06,3.069902616476934e-06,15,15
2.571393536550948e-06,2.471393536550948e-06,8,-1
3.7119485345826368e-06,2.511948534582638e-06,15,11
3.0843986450256843e-06,2.484398645025685e-06,13,-1
3.1188248597623823e-06,2.518824859762383e-06,13,-1
3.287611399800227e-06,2.4876113998002277e-06,15,7
1.5597941621592524e-06,2.4597941621592514e-06,7,2
1.6897327653809025e-06,2.4897327653809016e-06,7,1
4.274323012801467e-06,2.6743230128014685e-06,15,15
1.4486360105617423e-06,2.5486360105617413e-06,7,4
4.7556475080144595e-06,3.1556475080144613e-06,15,15
4.6054462413935784e-06,3.00544624139358e-06,15,15
2.982445561934956e-06,2.4824455619349564e-06,12,-1
4.2221335356130875e-06,2.6221335356130893e-06,15,15
4.587216503985561e-06,2.987216503985563e-06,15,15
3.5076815365734966e-06,2.5076815365734977e-06,15,9
3.738215183129241e-06,2.5382151831292422e-06,15,11
3.919989078108672e-06,2.5199890781086735e-06,15,13
2.0488296627387055e-06,2.548829662738705e-06,5,-1
2.9281969492428554e-06,2.528196949242856e-06,11,-1
1.4548607521335972e-06,2.454860752133596e-06,7,3
4.189350350546962e-06,2.5893503505469637e-06,15,15
3.557682641828194e-06,2.457682641828195e-06,15,10
3.0220183242400475e-06,2.522018324240048e-06,12,-1
1.6838607535288585e-06,2.4838607535288576e-06,7,1
2.8516734189785853e-06,2.4516734189785857e-06,11,-1
1.5984273629443754e-06,2.4984273629443744e-06,7,2
4.029554926863408e-06,2.52955492686341e-06,15,14
